LineNumber Seconds Frequency,Hz
3301 1781,753 246,41841
3302 1782,293 246,41856
3303 1782,837 246,41849
3304 1783,376 246,41846
3305 1783,907 244,74315
3306 1784,437 244,74323
3307 1784,975 244,74323
3308 1785,522 244,74323
3309 1786,067 244,74315
3310 1786,602 244,74327
3311 1787,141 244,74319
3312 1787,672 244,74318
3313 1788,208 244,74338
3314 1788,764 244,74338
3315 1789,301 244,74345
3316 1789,828 244,74344
3317 1790,361 244,74345
3318 1790,892 244,74345
3319 1791,432 244,74336
3320 1791,969 244,74338
3321 1792,506 244,74333
3322 1793,052 244,74326
3323 1793,582 244,74327
3324 1794,122 244,74327
3325 1794,657 244,74333
3326 1795,190 244,74330
3327 1795,729 244,74327
3328 1796,275 244,74330
3329 1796,818 243,09067
3330 1797,364 243,09062
3331 1797,895 243,09056
3332 1798,431 243,09062
3333 1798,973 243,09059
3334 1799,501 243,09052
3335 1800,034 243,09052
3336 1800,566 243,09062
3337 1801,097 243,09056
3338 1801,627 243,09062
3339 1802,159 243,09064
3340 1802,693 243,09062
3341 1803,227 243,09064
3342 1803,779 243,09059
3343 1804,320 243,09059
3344 1804,871 243,09064
3345 1805,406 243,09064
3346 1805,943 243,09064
3347 1806,495 243,09073
3348 1807,034 243,09073
3349 1807,577 243,09074
3350 1808,113 243,09073
3351 1808,650 243,08516
3352 1809,199 243,08365
3353 1809,735 241,51672
3354 1810,269 241,46001
3355 1810,811 241,46008
3356 1811,357 241,45993
3357 1811,906 241,45990
3358 1812,449 241,45985
3359 1812,985 241,45993
3360 1813,520 241,45987
3361 1814,054 241,45987
3362 1814,607 241,45993
3363 1815,149 241,46013
3364 1815,701 241,46025
3365 1816,247 241,46028
3366 1816,792 241,46039
3367 1817,338 241,46039
3368 1817,876 241,46040
3369 1818,406 241,46046
3370 1818,952 241,46043
3371 1819,495 241,46051
3372 1820,034 241,46043
3373 1820,568 241,46031
3374 1821,112 241,46031
3375 1821,645 241,46017
3376 1822,173 241,46010
3377 1822,706 239,85132
3378 1823,246 239,85135
3379 1823,783 239,85135
3380 1824,323 239,85144
3381 1824,863 239,85141
3382 1825,397 239,85139
3383 1825,943 239,85135
3384 1826,491 239,85132
3385 1827,033 239,85135
3386 1827,566 239,85132
3387 1828,102 239,85129
3388 1828,654 239,85132
3389 1829,192 239,85132
3390 1829,726 239,85136
3391 1830,271 239,85135
3392 1830,805 239,85136
3393 1831,346 239,85139
3394 1831,878 239,85139
3395 1832,408 239,85136
3396 1832,942 239,85139
3397 1833,473 239,85139
3398 1834,013 239,85135
3399 1834,551 239,85129
3400 1835,081 239,85132
3401 1835,612 239,85135
3402 1836,146 238,26379
3403 1836,681 238,26382
3404 1837,222 238,26385
3405 1837,751 238,26382
3406 1838,284 238,26387
3407 1838,817 238,26390
3408 1839,346 238,26387
3409 1839,876 238,26387
3410 1840,411 238,26390
3411 1840,951 238,26405
3412 1841,493 238,26395
3413 1842,040 238,26398
3414 1842,586 238,26398
3415 1843,135 238,26393
3416 1843,685 238,26393
3417 1844,230 238,26385
3418 1844,776 238,26379
3419 1845,314 238,26390
3420 1845,848 238,26379
3421 1846,380 238,26390
3422 1846,917 238,26390
3423 1847,467 238,26387
3424 1848,001 238,26382
3425 1848,539 238,26378
3426 1849,081 236,69739
3427 1849,613 236,69739
3428 1850,147 236,69739
3429 1850,701 236,69731
3430 1851,237 236,69739
3431 1851,778 236,69740
3432 1852,324 236,69748
3433 1852,861 236,69748
3434 1853,398 236,69753
3435 1853,939 236,69753
3436 1854,476 236,69733
3437 1855,023 236,69739
3438 1855,562 236,69743
3439 1856,098 236,69745
3440 1856,634 236,69739
3441 1857,177 236,69740
3442 1857,709 236,69743
3443 1858,260 236,69740
3444 1858,800 236,69740
3445 1859,336 236,69740
3446 1859,879 236,69740
3447 1860,409 236,69739
3448 1860,943 236,69743
3449 1861,481 236,65254
3450 1862,015 235,16484
3451 1862,547 235,16183
3452 1863,082 235,16016
3453 1863,621 235,15123
3454 1864,157 235,15123
3455 1864,693 235,15132
3456 1865,232 235,15132
3457 1865,773 235,15128
3458 1866,319 235,15128
3459 1866,859 235,15128
3460 1867,391 235,15128
3461 1867,929 235,15132
3462 1868,481 235,15132
3463 1869,021 235,15132
3464 1869,559 235,15123
3465 1870,095 235,15128
3466 1870,633 235,15128
3467 1871,185 235,15126
3468 1871,733 235,15126
3469 1872,279 235,15123
3470 1872,820 235,15123
3471 1873,370 235,14209
3472 1873,907 235,14024
3473 1874,446 235,13702
3474 1874,998 233,66716
3475 1875,542 233,62511
3476 1876,092 233,62515
3477 1876,637 233,62511
3478 1877,183 233,62511
3479 1877,730 233,62512
3480 1878,275 233,62512
3481 1878,822 233,62512
3482 1879,366 233,62512
3483 1879,916 233,62512
3484 1880,453 233,62515
3485 1880,985 233,62512
3486 1881,515 233,62512
3487 1882,056 233,62512
3488 1882,603 233,62511
3489 1883,141 233,62511
3490 1883,676 233,62511
3491 1884,211 233,62512
3492 1884,756 233,62512
3493 1885,304 233,62511
3494 1885,850 233,62515
3495 1886,400 233,61610
3496 1886,942 233,61397
3497 1887,479 233,61050
3498 1888,025 232,16035
3499 1888,567 232,11877
3500 1889,101 232,11879
3501 1889,647 232,11873
3502 1890,200 232,11870
3503 1890,740 232,11873
3504 1891,294 232,11874
3505 1891,832 232,11874
3506 1892,366 232,11873
3507 1892,916 232,11874
3508 1893,467 232,11873
3509 1894,013 232,11877
3510 1894,546 232,11874
3511 1895,087 232,11874
3512 1895,625 232,11874
3513 1896,165 232,11874
3514 1896,716 232,11870
3515 1897,249 232,11873
3516 1897,796 232,11879
3517 1898,341 232,11874
3518 1898,889 232,11877
3519 1899,425 232,11874
3520 1899,961 232,08849
3521 1900,506 232,08061
3522 1901,046 230,64886
3523 1901,584 230,64493
3524 1902,139 230,63165
3525 1902,684 230,63165
3526 1903,223 230,63161
3527 1903,752 230,63161
3528 1904,286 230,63156
3529 1904,821 230,63161
3530 1905,365 230,63161
3531 1905,903 230,63171
3532 1906,450 230,63167
3533 1906,995 230,63167
3534 1907,532 230,63165
3535 1908,077 230,63165
3536 1908,624 230,63167
3537 1909,159 230,63170
3538 1909,689 230,63176
3539 1910,220 230,63170
3540 1910,751 230,63170
3541 1911,288 230,63171
3542 1911,841 230,63171
3543 1912,376 230,63171
3544 1912,908 230,63171
3545 1913,437 230,63176
3546 1913,970 229,16376
3547 1914,513 229,16380
3548 1915,062 229,16373
3549 1915,601 229,16367
3550 1916,142 229,16364
3551 1916,673 229,16362
3552 1917,203 229,16359
3553 1917,734 229,16359
3554 1918,267 229,16353
3555 1918,809 229,16344
3556 1919,355 229,16350
3557 1919,898 229,16350
3558 1920,443 229,16339
3559 1920,989 229,16336
3560 1921,519 229,16341
3561 1922,064 229,16344
3562 1922,607 229,16350
3563 1923,151 229,16354
3564 1923,688 229,16354
3565 1924,220 229,16354
3566 1924,760 229,16357
3567 1925,303 229,16359
3568 1925,859 229,16353
3569 1926,397 229,12263
3570 1926,947 227,72476
3571 1927,485 227,72217
3572 1928,024 227,72078
3573 1928,573 227,71400
3574 1929,121 227,71397
3575 1929,670 227,71393
3576 1930,214 227,71396
3577 1930,751 227,71396
3578 1931,291 227,71405
3579 1931,835 227,71407
3580 1932,384 227,71405
3581 1932,928 227,71402
3582 1933,474 227,71397
3583 1934,018 227,71393
3584 1934,552 227,71393
3585 1935,108 227,71393
3586 1935,651 227,71387
3587 1936,200 227,71388
3588 1936,736 227,71388
3589 1937,276 227,71393
3590 1937,815 227,71391
3591 1938,353 227,71391
3592 1938,894 227,69643
3593 1939,428 227,69138
3594 1939,976 226,31458
3595 1940,521 226,30684
3596 1941,048 226,28256
3597 1941,583 226,28261
3598 1942,115 226,28255
3599 1942,644 226,28252
3600 1943,171 226,28255
3601 1943,709 226,28250
3602 1944,246 226,28252
3603 1944,793 226,28247
3604 1945,331 226,28256
3605 1945,861 226,28258
3606 1946,392 226,28258
3607 1946,924 226,28262
3608 1947,465 226,28267
3609 1948,003 226,28270
3610 1948,546 226,28270
3611 1949,087 226,28265
3612 1949,633 226,28270
3613 1950,184 226,28265
3614 1950,731 226,28258
3615 1951,276 226,28256
3616 1951,826 226,26807
3617 1952,366 226,26469
3618 1952,915 224,90567
3619 1953,457 224,89653
3620 1953,983 224,86903
3621 1954,517 224,86903
3622 1955,053 224,86913
3623 1955,607 224,86913
3624 1956,144 224,86908
3625 1956,678 224,86908
3626 1957,228 224,86908
3627 1957,772 224,86899
3628 1958,322 224,86908
3629 1958,870 224,86897
3630 1959,407 224,86894
3631 1959,940 224,86897
3632 1960,468 224,86903
3633 1961,001 224,86908
3634 1961,535 224,86909
3635 1962,076 224,86909
3636 1962,623 224,86909
3637 1963,169 224,86914
3638 1963,707 224,86914
3639 1964,237 224,86916
3640 1964,770 224,86919
3641 1965,302 224,84375
3642 1965,847 223,49963
3643 1966,385 223,49347
3644 1966,933 223,48924
3645 1967,475 223,47327
3646 1968,018 223,47328
3647 1968,561 223,47318
3648 1969,095 223,47318
3649 1969,637 223,47318
3650 1970,183 223,47322
3651 1970,719 223,47321
3652 1971,259 223,47321
3653 1971,805 223,47318
3654 1972,355 223,47321
3655 1972,892 223,47321
3656 1973,431 223,47316
3657 1973,977 223,47318
3658 1974,523 223,47318
3659 1975,077 223,47321
3660 1975,617 223,47318
3661 1976,156 223,47316
3662 1976,689 223,47321
3663 1977,218 223,47316
3664 1977,756 223,47322
3665 1978,298 223,47318
3666 1978,832 223,47318
3667 1979,359 222,09457
3668 1979,891 222,09457
3669 1980,423 222,09457
3670 1980,967 222,09457
3671 1981,503 222,09456
3672 1982,045 222,09459
3673 1982,581 222,09456
3674 1983,112 222,09448
3675 1983,642 222,09456
3676 1984,181 222,09451
3677 1984,720 222,09448
3678 1985,251 222,09448
3679 1985,790 222,09451
3680 1986,330 222,09445
3681 1986,866 222,09445
3682 1987,414 222,09445
3683 1987,958 222,09456
3684 1988,498 222,09457
3685 1989,034 222,09462
3686 1989,577 222,09464
3687 1990,110 222,09459
3688 1990,642 222,09456
3689 1991,178 222,09456
3690 1991,719 222,09459
3691 1992,250 220,73259
3692 1992,781 220,73262
3693 1993,315 220,73270
3694 1993,844 220,73268
3695 1994,382 220,73264
3696 1994,928 220,73277
3697 1995,478 220,73273
3698 1996,027 220,73273
3699 1996,571 220,73277
3700 1997,118 220,73267
3701 1997,662 220,73273
3702 1998,202 220,73273
3703 1998,740 220,73279
3704 1999,270 220,73268
3705 1999,809 220,73270
3706 2000,356 220,73267
3707 2000,899 220,73262
3708 2001,449 220,73257
3709 2001,985 220,73256
3710 2002,519 220,73256
3711 2003,057 220,73251
3712 2003,608 220,73264
3713 2004,144 220,73273
3714 2004,676 220,69205
3715 2005,211 219,39679
3716 2005,753 219,39491
3717 2006,295 219,39351
3718 2006,834 219,38756
3719 2007,366 219,38750
3720 2007,920 219,38756
3721 2008,466 219,38750
3722 2009,013 219,38744
3723 2009,549 219,38745
3724 2010,083 219,38744
3725 2010,622 219,38750
3726 2011,158 219,38747
3727 2011,699 219,38747
3728 2012,246 219,38747
3729 2012,791 219,38751
3730 2013,330 219,38760
3731 2013,868 219,38766
3732 2014,408 219,38768
3733 2014,939 219,38774
3734 2015,476 219,38773
3735 2016,023 219,38774
3736 2016,568 219,38768
3737 2017,113 219,38768
3738 2017,645 219,38768
3739 2018,175 218,05861
3740 2018,705 218,05861
3741 2019,243 218,05861
3742 2019,781 218,05855
3743 2020,321 218,05858
3744 2020,873 218,05861
3745 2021,416 218,05861
3746 2021,968 218,05861
3747 2022,511 218,05862
3748 2023,046 218,05861
3749 2023,589 218,05862
3750 2024,136 218,05862
3751 2024,681 218,05864
3752 2025,233 218,05861
3753 2025,778 218,05855
3754 2026,320 218,05864
3755 2026,868 218,05862
3756 2027,417 218,05867
3757 2027,967 218,05861
3758 2028,500 218,05867
3759 2029,046 218,05867
3760 2029,580 218,05867
3761 2030,120 218,05864
3762 2030,669 218,05867
3763 2031,203 216,74570
3764 2031,738 216,74571
3765 2032,277 216,74571
3766 2032,825 216,74570
3767 2033,374 216,74564
3768 2033,909 216,74565
3769 2034,447 216,74564
3770 2034,987 216,74564
3771 2035,521 216,74559
3772 2036,053 216,74561
3773 2036,593 216,74561
3774 2037,128 216,74561
3775 2037,657 216,74559
3776 2038,197 216,74559
3777 2038,748 216,74557
3778 2039,282 216,74565
3779 2039,817 216,74567
3780 2040,353 216,74576
3781 2040,905 216,74573
3782 2041,439 216,74576
3783 2041,970 216,74579
3784 2042,512 216,74582
3785 2043,047 216,74579
3786 2043,582 216,71204
3787 2044,114 215,46178
3788 2044,642 215,45851
3789 2045,171 215,45676
3790 2045,709 215,44864
3791 2046,249 215,44859
3792 2046,782 215,44859
3793 2047,312 215,44864
3794 2047,845 215,44856
3795 2048,377 215,44853
3796 2048,908 215,44856
3797 2049,440 215,44852
3798 2049,978 215,44859
3799 2050,530 215,44862
3800 2051,074 215,44862
3801 2051,610 215,44858
3802 2052,152 215,44849
3803 2052,687 215,44838
3804 2053,226 215,44832
3805 2053,775 215,44833
3806 2054,313 215,44843
3807 2054,855 215,44849
3808 2055,390 215,44839
3809 2055,923 215,43781
3810 2056,467 215,43498
3811 2057,013 215,43083
3812 2057,546 214,19592
3813 2058,085 214,16679
3814 2058,637 214,16682
3815 2059,183 214,16673
3816 2059,725 214,16670
3817 2060,265 214,16670
3818 2060,803 214,16673
3819 2061,343 214,16676
3820 2061,881 214,16678
3821 2062,436 214,16678
3822 2062,981 214,16676
3823 2063,525 214,16676
3824 2064,071 214,16676
3825 2064,616 214,16673
3826 2065,162 214,16673
3827 2065,713 214,16670
3828 2066,252 214,16676
3829 2066,789 214,16678
3830 2067,339 214,16672
3831 2067,879 214,16682
3832 2068,411 214,16682
3833 2068,941 214,16684
3834 2069,474 214,16685
3835 2070,003 214,16682
3836 2070,535 212,90022
3837 2071,065 212,90028
3838 2071,598 212,90024
3839 2072,126 212,90024
3840 2072,655 212,90025
3841 2073,189 212,90031
3842 2073,723 212,90031
3843 2074,261 212,90022
3844 2074,799 212,90025
3845 2075,329 212,90031
3846 2075,874 212,90031
3847 2076,406 212,90034
3848 2076,946 212,90031
3849 2077,484 212,90024
3850 2078,016 212,90024
3851 2078,556 212,90025
3852 2079,100 212,90022
3853 2079,650 212,90024
3854 2080,197 212,90024
3855 2080,738 212,90022
3856 2081,279 212,90025
3857 2081,815 212,90028
3858 2082,354 212,90030
3859 2082,905 212,90034
3860 2083,438 211,64844
3861 2083,982 211,64844
3862 2084,516 211,64845
3863 2085,048 211,64850
3864 2085,590 211,64836
3865 2086,125 211,64842
3866 2086,662 211,64839
3867 2087,203 211,64844
3868 2087,745 211,64842
3869 2088,282 211,64842
3870 2088,823 211,64844
3871 2089,370 211,64839
3872 2089,913 211,64842
3873 2090,464 211,64847
3874 2091,001 211,64851
3875 2091,533 211,64856
3876 2092,067 211,64861
3877 2092,597 211,64865
3878 2093,139 211,64857
3879 2093,679 211,64859
3880 2094,227 211,64859
3881 2094,769 211,64865
3882 2095,305 211,64865
3883 2095,851 211,64861
3884 2096,399 210,41159
3885 2096,950 210,41159
3886 2097,494 210,41158
3887 2098,040 210,41144
3888 2098,585 210,41144
3889 2099,139 210,41145
3890 2099,677 210,41144
3891 2100,228 210,41136
3892 2100,771 210,41136
3893 2101,304 210,41138
3894 2101,850 210,41136
3895 2102,398 210,41130
3896 2102,943 210,41141
3897 2103,482 210,41136
3898 2104,017 210,41136
3899 2104,547 210,41141
3900 2105,079 210,41145
3901 2105,614 210,41141
3902 2106,150 210,41136
3903 2106,700 210,41141
3904 2107,234 210,41138
3905 2107,771 210,41142
3906 2108,305 210,41144
3907 2108,847 210,41148
3908 2109,385 209,18881
3909 2109,924 209,18878
3910 2110,467 209,18878
3911 2110,999 209,18874
3912 2111,538 209,18877
3913 2112,088 209,18877
3914 2112,630 209,18877
3915 2113,164 209,18881
3916 2113,712 209,18878
3917 2114,249 209,18887
3918 2114,795 209,18887
3919 2115,334 209,18887
3920 2115,888 209,18892
3921 2116,433 209,18889
3922 2116,969 209,18886
3923 2117,500 209,18884
3924 2118,041 209,18880
3925 2118,588 209,18881
3926 2119,133 209,18884
3927 2119,685 209,18886
3928 2120,219 209,18880
3929 2120,758 209,18881
3930 2121,305 209,18881
3931 2121,855 209,14949
3932 2122,396 207,98576
3933 2122,931 207,98459
3934 2123,478 207,98386
3935 2124,024 207,98013
3936 2124,572 207,98015
3937 2125,110 207,98019
3938 2125,641 207,98019
3939 2126,186 207,98019
3940 2126,730 207,98042
3941 2127,268 207,98042
3942 2127,798 207,98047
3943 2128,328 207,98044
3944 2128,874 207,98053
3945 2129,409 207,98050
3946 2129,941 207,98044
3947 2130,471 207,98042
3948 2131,001 207,98033
3949 2131,541 207,98027
3950 2132,089 207,98030
3951 2132,639 207,98026
3952 2133,173 207,98018
3953 2133,716 207,98004
3954 2134,251 207,96071
3955 2134,788 207,95596
3956 2135,327 206,80632
3957 2135,865 206,80180
3958 2136,418 206,79887
3959 2136,957 206,78551
3960 2137,487 206,78549
3961 2138,023 206,78552
3962 2138,575 206,78551
3963 2139,109 206,78548
3964 2139,646 206,78548
3965 2140,179 206,78549
3966 2140,723 206,78551
3967 2141,254 206,78552
3968 2141,792 206,78560
3969 2142,330 206,78561
3970 2142,868 206,78560
3971 2143,418 206,78566
3972 2143,958 206,78561
3973 2144,495 206,78566
3974 2145,033 206,78566
3975 2145,569 206,78575
3976 2146,121 206,78569
3977 2146,663 206,77856
3978 2147,209 206,77715
3979 2147,754 206,77501
3980 2148,284 205,64120
3981 2148,814 205,63297
3982 2149,343 205,60452
3983 2149,876 205,60452
3984 2150,411 205,60448
3985 2150,945 205,60457
3986 2151,486 205,60454
3987 2152,028 205,60452
3988 2152,564 205,60451
3989 2153,093 205,60451
3990 2153,629 205,60451
3991 2154,167 205,60451
3992 2154,708 205,60452
3993 2155,242 205,60452
3994 2155,787 205,60457
3995 2156,339 205,60449
3996 2156,879 205,60449
3997 2157,417 205,60445
3998 2157,961 205,60443
3999 2158,511 205,60445
4000 2159,055 205,60445
4001 2159,602 205,60451
4002 2160,149 205,60451
4003 2160,687 205,60454
4004 2161,218 204,43695
4005 2161,758 204,43695
4006 2162,309 204,43690
4007 2162,852 204,43689
4008 2163,391 204,43689
4009 2163,924 204,43684
4010 2164,454 204,43686
4011 2164,989 204,43686
4012 2165,520 204,43684
4013 2166,053 204,43686
4014 2166,589 204,43686
4015 2167,132 204,43689
4016 2167,680 204,43689
4017 2168,226 204,43684
4018 2168,768 204,43684
4019 2169,298 204,43686
4020 2169,828 204,43689
4021 2170,367 204,43689
4022 2170,916 204,43690
4023 2171,461 204,43689
4024 2172,007 204,43686
4025 2172,558 204,43686
4026 2173,101 204,43690
4027 2173,644 204,43686
4028 2174,186 204,43686
4029 2174,724 203,28255
4030 2175,267 203,28252
4031 2175,806 203,28252
4032 2176,346 203,28252
4033 2176,879 203,28253
4034 2177,408 203,28252
4035 2177,942 203,28252
4036 2178,475 203,28252
4037 2179,023 203,28253
4038 2179,565 203,28253
4039 2180,094 203,28252
4040 2180,639 203,28250
4041 2181,183 203,28249
4042 2181,732 203,28249
4043 2182,269 203,28247
4044 2182,805 203,28244
4045 2183,355 203,28247
4046 2183,905 203,28249
4047 2184,443 203,28247
4048 2184,977 203,28250
4049 2185,529 203,28252
4050 2186,071 203,28252
4051 2186,617 203,25940
4052 2187,165 203,25269
4053 2187,706 202,15559
4054 2188,236 202,15308
4055 2188,766 202,14091
4056 2189,299 202,14091
4057 2189,842 202,14091
4058 2190,380 202,14085
4059 2190,917 202,14099
4060 2191,453 202,14099
4061 2191,987 202,14107
4062 2192,526 202,14108
4063 2193,072 202,14105
4064 2193,619 202,14107
4065 2194,169 202,14101
4066 2194,707 202,14108
4067 2195,247 202,14107
4068 2195,782 202,14107
4069 2196,315 202,14107
4070 2196,853 202,14108
4071 2197,393 202,14110
4072 2197,924 202,14108
4073 2198,459 202,14110
4074 2198,999 202,14107
4075 2199,536 202,14108
4076 2200,071 202,14108
4077 2200,621 201,01230
4078 2201,168 201,01234
4079 2201,704 201,01231
4080 2202,237 201,01234
4081 2202,780 201,01231
4082 2203,320 201,01231
4083 2203,872 201,01234
4084 2204,407 201,01231
4085 2204,946 201,01228
4086 2205,494 201,01230
4087 2206,036 201,01224
4088 2206,562 201,01225
4089 2207,102 201,01224
4090 2207,644 201,01224
4091 2208,174 201,01224
4092 2208,714 201,01225
4093 2209,250 201,01225
4094 2209,786 201,01225
4095 2210,320 201,01225
4096 2210,869 201,01224
4097 2211,407 201,01228
4098 2211,943 201,01230
4099 2212,478 201,01230
4100 2213,023 200,97594
